iso,indicator,sub_indicator,2014
AR,4.01,Power generation,19
AR,4.01,Methane,8
AR,4.01,Forestry,1
AR,4.01,Waste,11
AR,4.01,Energy efficiency,6
AR,4.01,Other,4
BB,4.01,Power generation,0
BB,4.01,Methane,0
BB,4.01,Forestry,0
BB,4.01,Waste,0
BB,4.01,Energy efficiency,0
BB,4.01,Other,0
BD,4.01,Power generation,0
BD,4.01,Methane,0
BD,4.01,Forestry,0
BD,4.01,Waste,2
BD,4.01,Energy efficiency,2
BD,4.01,Other,0
BO,4.01,Power generation,1
BO,4.01,Methane,0
BO,4.01,Forestry,2
BO,4.01,Waste,1
BO,4.01,Energy efficiency,2
BO,4.01,Other,0
BR,4.01,Power generation,239
BR,4.01,Methane,80
BR,4.01,Forestry,14
BR,4.01,Waste,53
BR,4.01,Energy efficiency,13
BR,4.01,Other,10
BS,4.01,Power generation,0
BS,4.01,Methane,0
BS,4.01,Forestry,0
BS,4.01,Waste,1
BS,4.01,Energy efficiency,0
BS,4.01,Other,0
BW,4.01,Power generation,0
BW,4.01,Methane,0
BW,4.01,Forestry,0
BW,4.01,Waste,0
BW,4.01,Energy efficiency,0
BW,4.01,Other,0
BZ,4.01,Power generation,0
BZ,4.01,Methane,0
BZ,4.01,Forestry,3
BZ,4.01,Waste,0
BZ,4.01,Energy efficiency,0
BZ,4.01,Other,0
CD,4.01,Power generation,0
CD,4.01,Methane,0
CD,4.01,Forestry,1
CD,4.01,Waste,1
CD,4.01,Energy efficiency,0
CD,4.01,Other,0
CI,4.01,Power generation,2
CI,4.01,Methane,0
CI,4.01,Forestry,0
CI,4.01,Waste,2
CI,4.01,Energy efficiency,1
CI,4.01,Other,0
CL,4.01,Power generation,83
CL,4.01,Methane,8
CL,4.01,Forestry,5
CL,4.01,Waste,16
CL,4.01,Energy efficiency,3
CL,4.01,Other,5
CM,4.01,Power generation,0
CM,4.01,Methane,0
CM,4.01,Forestry,0
CM,4.01,Waste,2
CM,4.01,Energy efficiency,1
CM,4.01,Other,0
CN,4.01,Power generation,3423
CN,4.01,Methane,164
CN,4.01,Forestry,6
CN,4.01,Waste,114
CN,4.01,Energy efficiency,308
CN,4.01,Other,89
CN-13,4.01,Power generation,164
CN-13,4.01,Methane,13
CN-13,4.01,Forestry,0
CN-13,4.01,Waste,6
CN-13,4.01,Energy efficiency,15
CN-13,4.01,Other,5
CN-15,4.01,Power generation,366
CN-15,4.01,Methane,4
CN-15,4.01,Forestry,1
CN-15,4.01,Waste,0
CN-15,4.01,Energy efficiency,12
CN-15,4.01,Other,2
CN-22,4.01,Power generation,133
CN-22,4.01,Methane,9
CN-22,4.01,Forestry,0
CN-22,4.01,Waste,1
CN-22,4.01,Energy efficiency,3
CN-22,4.01,Other,0
CN-23,4.01,Power generation,123
CN-23,4.01,Methane,2
CN-23,4.01,Forestry,0
CN-23,4.01,Waste,1
CN-23,4.01,Energy efficiency,2
CN-23,4.01,Other,3
CN-32,4.01,Power generation,50
CN-32,4.01,Methane,4
CN-32,4.01,Forestry,0
CN-32,4.01,Waste,11
CN-32,4.01,Energy efficiency,16
CN-32,4.01,Other,4
CN-35,4.01,Power generation,79
CN-35,4.01,Methane,0
CN-35,4.01,Forestry,0
CN-35,4.01,Waste,5
CN-35,4.01,Energy efficiency,7
CN-35,4.01,Other,0
CN-37,4.01,Power generation,160
CN-37,4.01,Methane,6
CN-37,4.01,Forestry,0
CN-37,4.01,Waste,7
CN-37,4.01,Energy efficiency,24
CN-37,4.01,Other,7
CN-42,4.01,Power generation,69
CN-42,4.01,Methane,2
CN-42,4.01,Forestry,0
CN-42,4.01,Waste,8
CN-42,4.01,Energy efficiency,12
CN-42,4.01,Other,0
CN-44,4.01,Power generation,78
CN-44,4.01,Methane,2
CN-44,4.01,Forestry,0
CN-44,4.01,Waste,8
CN-44,4.01,Energy efficiency,14
CN-44,4.01,Other,0
CN-51,4.01,Power generation,357
CN-51,4.01,Methane,4
CN-51,4.01,Forestry,2
CN-51,4.01,Waste,5
CN-51,4.01,Energy efficiency,14
CN-51,4.01,Other,8
CN-53,4.01,Power generation,373
CN-53,4.01,Methane,2
CN-53,4.01,Forestry,0
CN-53,4.01,Waste,4
CN-53,4.01,Energy efficiency,3
CN-53,4.01,Other,4
CN-54,4.01,Power generation,178
CN-54,4.01,Methane,2
CN-54,4.01,Forestry,0
CN-54,4.01,Waste,1
CN-54,4.01,Energy efficiency,8
CN-54,4.01,Other,4
CN-62,4.01,Power generation,256
CN-62,4.01,Methane,0
CN-62,4.01,Forestry,0
CN-62,4.01,Waste,1
CN-62,4.01,Energy efficiency,6
