iso,sub_indicator,2006,2007,2008,2009,2010,2011,2012,2013,2014
AR,Non-clean Energy,23627.50,23989.00,25807.00,27719.00,27719.00,28990.00,30448.99,30724.54,30667.00
AR,Clean Energy,406.60,418.00,419.00,425.00,425.00,454.00,653.00,714.80,744.25
BS,Non-clean Energy,555.50,555.50,555.50,555.50,555.50,555.50,575.50,575.50,575.50
BS,Clean Energy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BD,Non-clean Energy,5178.40,5202.30,5227.00,5495.50,5841.50,7204.50,8490.00,9021.00,10753.00
BD,Clean Energy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BB,Non-clean Energy,239.10,239.10,239.10,239.10,239.10,239.10,239.10,239.10,239.10
BB,Clean Energy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BZ,Non-clean Energy,36.90,36.20,37.00,56.20,54.80,50.80,50.80,68.50,68.50
BZ,Clean Energy,32.20,35.30,35.30,66.80,85.80,85.80,86.28,86.28,86.28
BO,Non-clean Energy,1158.00,1187.40,1190.50,1218.20,1328.70,1366.80,1523.90,1585.10,1740.99
BO,Clean Energy,307.60,307.60,310.40,310.40,310.40,311.30,315.90,315.90,323.40
BW,Non-clean Energy,132.00,132.00,132.00,132.00,222.00,222.00,222.00,222.00,222.00
BW,Clean Energy,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00
BR,Non-clean Energy,91474.56,94536.20,95361.00,96696.00,102083.00,102269.00,104142.70,106591.26,114115.95
BR,Clean Energy,4819.44,5815.80,7588.00,9167.00,11244.00,13862.10,15880.90,19225.09,24318.61
CM,Non-clean Energy,924.90,921.50,936.90,1022.70,1007.80,1017.00,1032.00,1263.00,1263.00
CM,Clean Energy,0.03,0.03,0.03,0.07,0.10,0.11,0.11,0.11,0.00
CL,Non-clean Energy,10880.24,11204.33,11864.86,13176.90,14129.18,15395.80,16342.32,16342.32,16699.80
CL,Clean Energy,606.42,697.57,767.39,871.35,994.08,1084.38,1211.38,1502.96,2518.07
CN,Non-clean Energy,610150.84,695520.78,746438.49,785471.68,854883.49,922528.47,985684.31,1058905.00,1180820.00
CN,Clean Energy,47781.65,55017.10,62842.47,77073.31,94599.49,117321.53,137124.17,166381.00,201358.00
CN-35,Non-clean Energy,15633.62,17175.92,19247.23,22984.21,27071.42,29160.23,30250.59,32745.43,35082.43
CN-35,Clean Energy,6413.13,6771.83,7046.52,7483.04,7948.28,8381.47,9030.11,9066.51,9515.23
CN-62,Non-clean Energy,9678.53,11071.46,13143.39,15376.52,17646.33,19979.71,20789.90,21581.39,24651.39
CN-62,Clean Energy,1188.22,1506.84,1921.76,2747.63,6673.82,7504.94,8985.11,9534.21,12624.78
CN-44,Non-clean Energy,47688.45,52441.32,53681.80,58171.34,63350.36,68021.76,69103.88,75090.32,81740.32
CN-44,Clean Energy,6237.70,6446.07,6646.29,7249.20,8057.34,8801.22,9472.42,9469.68,9404.67
CN-13,Non-clean Energy,26489.74,29352.14,30943.54,36406.62,37887.82,39300.43,41013.31,43263.01,44293.34
CN-13,Clean Energy,708.01,939.40,1575.75,3313.07,5477.94,7724.83,8920.49,9332.06,11773.04
CN-23,Non-clean Energy,13071.39,14712.14,17057.00,17175.60,17113.60,17683.62,17785.58,19720.30,20170.30
CN-23,Clean Energy,403.37,646.11,1289.31,2144.16,2986.46,4119.19,4995.83,5681.95,5486.49
CN-42,Non-clean Energy,27525.95,34575.12,40683.28,42867.17,45890.26,49794.55,54057.14,55476.58,58196.58
CN-42,Clean Energy,2418.05,2498.48,2590.32,2842.59,3145.29,3365.05,3886.76,4044.62,4402.44
CN-15,Non-clean Energy,29663.54,40622.54,46431.18,48991.18,54720.68,60234.62,61031.48,64846.85,68496.85
CN-15,Clean Energy,562.55,1749.15,3898.31,9443.48,14115.83,17870.74,19241.33,19779.85,23860.57
CN-32,Non-clean Energy,51741.19,55157.89,53481.26,55132.54,62593.43,67356.41,72264.91,78614.07,80356.07
CN-32,Clean Energy,319.49,615.86,1103.99,1669.01,2204.02,3043.91,3665.19,5187.58,6778.26
CN-22,Non-clean Energy,10548.90,11045.69,11748.48,13922.02,17593.69,19516.94,19960.44,20873.15,20973.15
CN-22,Clean Energy,614.81,1036.57,1557.98,2601.84,3487.17,4247.47,4726.97,5162.61,4965.50
CN-63,Non-clean Energy,6514.69,7285.75,7446.81,10072.17,11861.35,12435.32,12440.47,12695.05,13235.05
CN-63,Clean Energy,425.72,444.65,463.59,598.73,825.35,1788.34,3191.04,4328.55,5265.05
CN-37,Non-clean Energy,49820.79,54928.57,56639.86,59514.67,60585.35,64981.18,68400.21,71980.18,73020.18
CN-37,Clean Energy,338.35,611.63,903.50,1625.81,3183.39,5282.50,6789.79,8336.62,7836.39
CN-51,Non-clean Energy,21418.75,25828.41,28787.07,31982.87,36092.07,40179.66,46196.67,58204.11,68144.11
CN-51,Clean Energy,5866.25,6031.59,6222.93,6602.13,7192.93,7701.34,8457.83,10714.49,12458.87
CN-54,Non-clean Energy,190.00,266.22,407.44,356.00,569.84,742.79,746.40,803.07,1103.07
CN-54,Clean Energy,191.70,160.48,129.26,211.70,207.86,284.91,290.90,312.73,402.91
CN-65 ,Non-clean Energy,6881.75,7856.31,9499.88,10989.50,13655.06,18339.77,25178.20,27396.18,36444.18
CN-65 ,Clean Energy,1027.86,1143.00,1466.93,1963.06,2418.50,3578.04,4823.90,10425.88,13342.07
CN-53,Non-clean Energy,12981.62,16452.17,19483.93,24337.65,27348.00,30197.11,36139.20,46066.82,52574.82
CN-53,Clean Energy,5280.39,5757.83,6364.82,7393.11,8793.50,9975.66,11754.15,15135.18,16744.72
CO,Non-clean Energy,12795.80,12899.70,12945.60,12970.40,12697.40,13801.00,13692.00,13913.00,14797.30
CO,Clean Energy,481.40,506.00,511.20,525.40,592.10,606.20,669.70,644.00,691.90
CR,Non-clean Energy,1454.68,1533.88,1783.38,1718.79,1780.16,2110.56,1871.47,1892.55,1853.31
CR,Clean Energy,572.49,575.80,593.30,601.80,622.73,750.75,780.17,784.02,993.99
CI,Non-clean Energy,1204.00,1204.00,1204.00,1204.00,1385.00,1415.00,1415.00,1515.00,1626.00
CI,Clean Energy,30.00,30.00,30.00,30.00,34.00,34.00,34.00,36.80,36.80
CD,Non-clean Energy,2362.41,2364.29,2379.03,2422.69,2430.62,2495.35,2495.35,2495.35,2495.00
CD,Clean Energy,108.19,107.58,106.51,102.77,109.84,115.00,115.00,115.00,115.00
DO,Non-clean Energy,3280.00,3280.00,3028.90,3022.73,3019.63,3157.30,3237.27,3200.29,3484.73
DO,Clean Energy,114.10,114.10,117.10,167.95,167.95,197.95,205.25,254.88,257.68
EC,Non-clean Energy,3646.66,4107.59,4142.12,4421.82,4731.43,4829.12,5012.40,5035.71,4852.38
EC,Clean Energy,351.11,381.46,414.24,416.88,411.26,402.79,442.01,453.33,581.20
SV,Non-clean Energy,1050.20,1087.60,1094.50,1143.40,1143.40,1143.50,1137.30,1207.90,1208.50
SV,Clean Energy,192.50,297.90,341.40,341.40,332.20,348.20,343.20,343.20,353.70
ET,Non-clean Energy,519.65,532.65,716.25,1933.63,1872.92,1960.05,1933.25,1902.95,1934.00
ET,Clean Energy,150.07,150.07,157.37,157.37,157.37,238.37,235.17,325.95,416.15
GH,Non-clean Energy,1730.00,1810.00,1810.00,1920.00,2200.00,2200.00,2350.00,2928.50,2928.50
GH,Clean Energy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,2.50
GT,Non-clean Energy,1795.72,1811.46,1891.76,1891.76,1985.76,1985.76,2153.76,2207.09,2342.69
GT,Clean Energy,479.07,530.27,530.43,543.93,548.47,621.35,636.31,643.22,827.68
GY,Non-clean Energy,133.66,131.95,147.52,160.32,158.40,205.70,158.40,158.40,147.40
GY,Clean Energy,0.00,0.00,0.00,30.00,30.00,30.00,30.00,30.00,30.00
HT,Non-clean Energy,0.00,0.00,0.00,0.00,0.00,71.20,186.00,182.00,191.30
HT,Clean Energy,0.00,0.00,0.00,0.00,0.00,48.00,55.00,54.00,63.30
HN,Non-clean Energy,1357.90,1360.90,1373.30,1372.50,1372.50,1385.00,1385.40,1385.40,1385.40
HN,Clean Energy,210.90,247.60,256.80,263.30,262.80,388.63,397.24,397.24,459.74
IN,Non-clean Energy,119692.10,129755.40,133481.08,140195.85,152878.27,165400.48,182416.06,202040.16,224090.00
IN,Clean Energy,11649.40,13800.50,17182.30,18215.00,21626.47,25759.40,29872.01,33351.48,38360.00
IN-AP,Non-clean Energy,11987.35,12205.85,12221.85,14042.42,15257.84,16296.84,17244.10,17394.10,18554.00
IN-AP,Clean Energy,739.98,780.39,821.83,791.83,995.08,1062.73,1326.83,1488.22,2065.00
IN-GJ,Non-clean Energy,10834.73,10904.73,10975.81,12440.81,14415.81,15525.81,20876.20,23709.70,25634.00
IN-GJ,Clean Energy,408.40,881.80,1573.50,1718.80,2053.41,2862.80,3961.30,4145.41,4437.00
IN-KA,Non-clean Energy,5809.82,6529.82,6644.82,7244.82,8094.82,8723.62,9223.62,9223.62,9338.00
IN-KA,Clean Energy,1686.19,1998.29,2446.34,2871.94,3159.79,3617.34,4107.04,4481.74,4667.00
IN-MP,Non-clean Energy,6782.50,8362.50,8572.50,8572.50,8512.50,8512.50,9200.00,12370.00,16005.00
IN-MP,Clean Energy,207.36,206.76,364.86,364.86,383.81,467.21,507.81,766.28,1151.00
IN-MH,Non-clean Energy,14650.00,15640.00,16195.00,16445.00,17770.00,19931.00,20518.10,23823.10,27331.00
IN-MH,Clean Energy,1702.28,2180.13,2611.73,2726.23,3291.63,3907.23,4587.93,5205.63,6434.00
IN-PB,Non-clean Energy,3417.65,3417.65,3917.65,3917.65,3917.65,3917.65,3917.65,3917.65,5731.00
IN-PB,Clean Energy,159.35,183.70,332.35,388.10,453.55,512.69,556.09,610.09,668.00
IN-RJ,Non-clean Energy,3972.80,4427.80,4434.13,5389.13,6339.13,6725.00,6730.80,8290.80,8831.00
IN-RJ,Clean Energy,513.55,560.70,732.35,922.00,1442.95,2000.65,2611.80,3538.30,4047.00
IN-TN,Non-clean Energy,9437.55,9431.55,9572.55,9572.55,9572.55,9572.55,10358.20,12358.20,15077.00
IN-TN,Clean Energy,3897.25,4546.75,5197.20,5572.20,6556.72,7728.09,8333.91,8422.43,8810.00
IN-UP,Non-clean Energy,13232.00,13232.00,12732.00,12732.00,14312.00,16242.00,17757.00,18507.00,19980.00
IN-UP,Clean Energy,908.11,1066.56,1138.16,1163.66,1199.35,1258.95,1287.95,2729.70,2745.00
IN-WB,Non-clean Energy,7317.50,9737.50,9852.50,10062.50,10812.50,12523.50,13023.50,13122.50,9748.00
IN-WB,Clean Energy,183.40,183.40,183.40,183.40,183.40,184.40,194.40,199.40,434.00
ID,Non-clean Energy,28833.61,29867.10,30403.56,30762.16,32775.81,38598.29,43810.48,49501.28,51392.90
ID,Clean Energy,1793.03,1928.91,2004.57,2839.09,2931.34,2997.47,3080.85,3211.38,3423.26
JM,Non-clean Energy,796.16,796.16,796.16,796.16,808.16,808.16,873.66,873.66,854.40
JM,Clean Energy,42.40,43.50,43.50,43.50,46.50,64.50,64.50,64.50,71.00
KE,Non-clean Energy,794.20,794.20,1041.60,1115.00,1203.50,1294.27,1389.10,1400.10,1476.00
KE,Clean Energy,259.85,259.85,315.25,316.15,368.50,373.10,323.30,403.30,719.00
LR,Non-clean Energy,2.50,2.50,9.60,9.60,9.60,22.60,22.60,22.60,22.60
LR,Clean Energy,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00
MW,Non-clean Energy,219.65,219.65,219.65,219.65,219.65,219.65,219.65,284.45,284.27
MW,Clean Energy,87.00,87.00,87.00,87.00,87.00,87.00,87.00,87.83,87.76
MX,Non-clean Energy,51500.46,54990.70,55440.47,56527.39,57873.16,57186.75,57504.21,59134.97,60316.00
