"iso","id","sub_indicator","unit","clean","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"AR","2.01","Clean energy investments","USDm","-","188.02","536.82","1138.20","1277.08","1757.94","2259.59","2767.80","2920.66","2920.66","2920.66"
"BS","2.01","Clean energy investments","USDm","-","-","-","-","-","-","-","-","-","-","-"
"BD","2.01","Clean energy investments","USDm","-","-","-","-","-","-","27.89","27.89","27.89","27.89","27.89"
"BB","2.01","Clean energy investments","USDm","-","-","-","-","-","-","-","6.4","6.4","6.4","6.4"
"BZ","2.01","Clean energy investments","USDm","-","-","113.08","185.47","185.47","185.47","185.47","185.47","185.47","185.47","185.47"
"BO","2.01","Clean energy investments","USDm","-","-","-","-","-","-","-","-","6.95","6.95","6.95"
"BW","2.01","Clean energy investments","USDm","-","-","-","-","-","6.18","6.18","6.18","6.18","6.18","6.18"
"BR","2.01","Clean energy investments","USDm","-","6207.16","19924.75","35509.48","47029.88","60780.54","77560.56","88571.27","95895.27","95895.27","95895.27"
"CM","2.01","Clean energy investments","USDm","-","-","-","-","-","-","53.93","102.11","102.11","102.11","102.11"
"CL","2.01","Clean energy investments","USDm","-","281.09","514.56","1417.18","1960.10","2940.40","3533.96","5528.65","7170.37","7170.37","7170.37"
"CN","2.01","Clean energy investments","USDm","-","16975.59","34878.43","61402.92","100613.44","145401.81","194472.48","247681.98","302176.02","302176.02","302176.02"
"CN-35","2.01","Clean energy investments","USDm","-","503.99","780.15","1206.14","1753.57","2824.58","3356.30","3911.28","4203.38","4203.38","4203.38"
"CN-62","2.01","Clean energy investments","USDm","-","601.5","1498.30","2269.59","8826.01","10377.30","12271.99","21693.86","30667.83","30667.83","30667.83"
"CN-44","2.01","Clean energy investments","USDm","-","630.13","867.88","1219.65","2252.00","3249.98","4474.20","5309.40","6031.75","6031.75","6031.75"
"CN-13","2.01","Clean energy investments","USDm","-","211.31","1404.73","3646.12","6577.34","9587.49","11741.30","14603.28","16572.60","16572.60","16572.60"
"CN-23","2.01","Clean energy investments","USDm","-","228.17","2189.67","3355.32","5358.32","6786.56","8616.41","9456.99","10476.23","10476.23","10476.23"
"CN-42","2.01","Clean energy investments","USDm","-","101.68","374.69","805.77","1359.05","1697.91","1999.80","2864.52","3555.19","3555.19","3555.19"
"CN-15","2.01","Clean energy investments","USDm","-","863.83","3366.65","9856.40","16932.58","25056.47","30826.59","35143.88","40308.39","40308.39","40308.39"
"CN-32","2.01","Clean energy investments","USDm","-","1160.94","1625.06","3148.35","3444.27","4557.19","6994.39","8655.38","11969.07","11969.07","11969.07"
"CN-22","2.01","Clean energy investments","USDm","-","533.02","722.65","2510.03","3778.56","5562.86","7144.00","8595.43","8792.91","8792.91","8792.91"
"CN-63","2.01","Clean energy investments","USDm","-","131.69","180.16","201.39","433.36","1088.63","5010.05","7644.05","10960.54","10960.54","10960.54"
"CN-37","2.01","Clean energy investments","USDm","-","497.71","1275.62","2683.48","4465.52","7556.16","10539.04","12772.63","14685.24","14685.24","14685.24"
"CN-51","2.01","Clean energy investments","USDm","-","678.37","1520.80","2100.40","2265.89","2714.30","3074.77","3378.64","4391.55","4391.55","4391.55"
"CN-54","2.01","Clean energy investments","USDm","-","-","-","1.85","1.85","148.44","541.51","1122.90","1179.51","1179.51","1179.51"
"CN-65","2.01","Clean energy investments","USDm","-","64.97","536.83","1045.62","1783.18","2580.03","4203.36","11024.34","18080.43","18080.43","18080.43"
"CN-53","2.01","Clean energy investments","USDm","-","883.09","1753.45","2844.28","3428.68","4562.67","5420.67","7854.54","9836.19","9836.19","9836.19"
"CO","2.01","Clean energy investments","USDm","-","260.8","406.95","791.61","1011.54","1071.13","1136.34","1216.75","1216.75","1216.75","1216.75"
"CR","2.01","Clean energy investments","USDm","-","219.85","219.85","368.32","599.3","720.53","955.56","1153.28","1404.09","1404.09","1404.09"
"CI","2.01","Clean energy investments","USDm","-","-","100.67","100.67","120.4","120.4","120.4","120.4","120.4","120.4","120.4"
"CD","2.01","Clean energy investments","USDm","-","-","-","-","-","46.48","121.82","137.88","199.64","199.64","199.64"
"DO","2.01","Clean energy investments","USDm","-","-","36.44","36.44","36.44","73.69","126.3","232.3","232.3","232.3","232.3"
"EC","2.01","Clean energy investments","USDm","-","220.73","241.44","250.01","305.96","305.96","449.68","452.96","534.28","534.28","534.28"
"SV","2.01","Clean energy investments","USDm","-","24.09","24.09","176.78","176.78","191.88","191.88","191.88","242.88","242.88","242.88"
