iso,sub_indicator,2014
AR,spot_electricity,48.01
AR,retail_electricity,49.06
AR,residential_electricity,44.66
AR,commercial_electricity,64.55
AR,industrial_electricity,37.96
AR,diesel,
AR,kerosene,
BS,spot_electricity,
BS,retail_electricity,295.81
BS,residential_electricity,277.3
BS,commercial_electricity,312.28
BS,industrial_electricity,297.86
BS,diesel,
BS,kerosene,
BD,spot_electricity,60.16
BD,retail_electricity,88
BD,residential_electricity,54
BD,commercial_electricity,113
BD,industrial_electricity,98
BD,diesel,1.27
BD,kerosene,0.87
BB,spot_electricity,
BB,retail_electricity,373.26
BB,residential_electricity,354.31
BB,commercial_electricity,397.78
BB,industrial_electricity,367.68
BB,diesel,
BB,kerosene,
BZ,spot_electricity,
BZ,retail_electricity,198.71
BZ,residential_electricity,219.96
BZ,commercial_electricity,221.21
BZ,industrial_electricity,154.97
BZ,diesel,
BZ,kerosene,
BO,spot_electricity,17.98
BO,retail_electricity,86.87
BO,residential_electricity,80.33
BO,commercial_electricity,121.88
BO,industrial_electricity,58.39
BO,diesel,
BO,kerosene,
BW,spot_electricity,
BW,retail_electricity,202.62
BW,residential_electricity,
BW,commercial_electricity,
BW,industrial_electricity,
BW,diesel,0.81
BW,kerosene,0.94
BR,spot_electricity,273.73
BR,retail_electricity,120.38
BR,residential_electricity,130.08
BR,commercial_electricity,124.87
BR,industrial_electricity,106.18
BR,diesel,
BR,kerosene,
CM,spot_electricity,
CM,retail_electricity,79.53
CM,residential_electricity,58.59
CM,commercial_electricity,100.47
CM,industrial_electricity,
CM,diesel,1.08
CM,kerosene,0.58
CL,spot_electricity,104.4
CL,retail_electricity,140
CL,residential_electricity,176
CL,commercial_electricity,108
CL,industrial_electricity,135
CL,diesel,
CL,kerosene,
CN,spot_electricity,
CN,retail_electricity,90.78
CN,residential_electricity,82.05
CN,commercial_electricity,131.19
CN,industrial_electricity,142.71
CN,diesel,
CN,kerosene,
CN-35,spot_electricity,
CN-35,retail_electricity,98.94
CN-35,residential_electricity,80.02
CN-35,commercial_electricity,122.59
CN-35,industrial_electricity,157.34
CN-35,diesel,
CN-35,kerosene,
CN-62,spot_electricity,
CN-62,retail_electricity,106.22
CN-62,residential_electricity,90.94
CN-62,commercial_electricity,143.65
CN-62,industrial_electricity,84.08
CN-62,diesel,
CN-62,kerosene,
CN-44,spot_electricity,
CN-44,retail_electricity,118.98
CN-44,residential_electricity,98.46
CN-44,commercial_electricity,147.05
CN-44,industrial_electricity,111.43
CN-44,diesel,
CN-44,kerosene,
CN-13,spot_electricity,
CN-13,retail_electricity,96.62
CN-13,residential_electricity,78.65
CN-13,commercial_electricity,125.45
CN-13,industrial_electricity,85.77
CN-13,diesel,
CN-13,kerosene,
CN-23,spot_electricity,
CN-23,retail_electricity,109.18
CN-23,residential_electricity,81.16
CN-23,commercial_electricity,150.22
CN-23,industrial_electricity,96.15
CN-23,diesel,
CN-23,kerosene,
CN-42,spot_electricity,
CN-42,retail_electricity,110.71
CN-42,residential_electricity,91.3
CN-42,commercial_electricity,149.93
CN-42,industrial_electricity,90.89
CN-42,diesel,
CN-42,kerosene,
CN-15,spot_electricity,
CN-15,retail_electricity,87.91
CN-15,residential_electricity,74.39
CN-15,commercial_electricity,113.24
CN-15,industrial_electricity,76.1
CN-15,diesel,
CN-15,kerosene,
CN-32,spot_electricity,
CN-32,retail_electricity,91.29
CN-32,residential_electricity,77.31
CN-32,commercial_electricity,117.19
CN-32,industrial_electricity,79.37
CN-32,diesel,
CN-32,kerosene,
CN-22,spot_electricity,
CN-22,retail_electricity,110.18
CN-22,residential_electricity,84.13
CN-22,commercial_electricity,151.27
CN-22,industrial_electricity,95.13
CN-22,diesel,
CN-22,kerosene,
CN-63,spot_electricity,
CN-63,retail_electricity,77.78
CN-63,residential_electricity,71.97
CN-63,commercial_electricity,100.97
CN-63,industrial_electricity,60.41
CN-63,diesel,
CN-63,kerosene,
CN-37,spot_electricity,
CN-37,retail_electricity,101.8
CN-37,residential_electricity,84.38
CN-37,commercial_electricity,122.01
CN-37,industrial_electricity,99.01
CN-37,diesel,
CN-37,kerosene,
CN-51,spot_electricity,
CN-51,retail_electricity,101.55
CN-51,residential_electricity,83.7
CN-51,commercial_electricity,130.66
CN-51,industrial_electricity,90.29
CN-51,diesel,
CN-51,kerosene,
CN-54,spot_electricity,
CN-54,retail_electricity,92.83
CN-54,residential_electricity,81.84
CN-54,commercial_electricity,81.84
CN-54,industrial_electricity,114.82
CN-54,diesel,
CN-54,kerosene,
CN-65 ,spot_electricity,
CN-65 ,retail_electricity,65.11
CN-65 ,residential_electricity,68.82
CN-65 ,commercial_electricity,79.34
CN-65 ,industrial_electricity,47.18
CN-65 ,diesel,
CN-65 ,kerosene,
CN-53,spot_electricity,
CN-53,retail_electricity,91.29
CN-53,residential_electricity,77.31
CN-53,commercial_electricity,117.19
CN-53,industrial_electricity,79.37
CN-53,diesel,
CN-53,kerosene,
CO,spot_electricity,114.61
CO,retail_electricity,145.86
CO,residential_electricity,161.07
CO,commercial_electricity,154.78
CO,industrial_electricity,121.74
CO,diesel,
CO,kerosene,
CR,spot_electricity,
CR,retail_electricity,171.61
CR,residential_electricity,167.01
CR,commercial_electricity,195.16
CR,industrial_electricity,152.66
CR,diesel,
CR,kerosene,
CI,spot_electricity,
CI,retail_electricity,175.36
CI,residential_electricity,139.09
CI,commercial_electricity,265.14
CI,industrial_electricity,121.85
CI,diesel,1.22
CI,kerosene,1.19
CD,spot_electricity,
CD,retail_electricity,66
CD,residential_electricity,47
CD,commercial_electricity,
CD,industrial_electricity,
CD,diesel,1.55
CD,kerosene,1.19
DO,spot_electricity,183.4
DO,retail_electricity,194.25
DO,residential_electricity,150.04
DO,commercial_electricity,246.8
DO,industrial_electricity,185.9
DO,diesel,
DO,kerosene,
EC,spot_electricity,72.2
EC,retail_electricity,86.82
EC,residential_electricity,99.72
EC,commercial_electricity,89.16
EC,industrial_electricity,71.57
EC,diesel,
EC,kerosene,
SV,spot_electricity,
SV,retail_electricity,236.33
SV,residential_electricity,260.7
SV,commercial_electricity,240.4
SV,industrial_electricity,207.9
SV,diesel,
SV,kerosene,
ET,spot_electricity,
ET,retail_electricity,30.86
ET,residential_electricity,27.47
ET,commercial_electricity,39.68
ET,industrial_electricity,28.89
ET,diesel,0.87
ET,kerosene,0.76
GH,spot_electricity,
GH,retail_electricity,154.42
GH,residential_electricity,99.09
GH,commercial_electricity,205.92
GH,industrial_electricity,158.26
GH,diesel,1.02
GH,kerosene,0.99
GT,spot_electricity,103.66
GT,retail_electricity,228.67
GT,residential_electricity,285.92
GT,commercial_electricity,200.52
GT,industrial_electricity,199.57
GT,diesel,
GT,kerosene,
GY,spot_electricity,
GY,retail_electricity,309.4
GY,residential_electricity,265.45
GY,commercial_electricity,354.95
GY,industrial_electricity,307.8
GY,diesel,
GY,kerosene,
HT,spot_electricity,
HT,retail_electricity,328.55
HT,residential_electricity,221.48
HT,commercial_electricity,373.13
HT,industrial_electricity,391.06
HT,diesel,0.93
HT,kerosene,0.93
HN,spot_electricity,
HN,retail_electricity,186.78
HN,residential_electricity,139.28
HN,commercial_electricity,227.65
HN,industrial_electricity,193.4
HN,diesel,
HN,kerosene,
IN,spot_electricity,58.2
IN,retail_electricity,86.93
IN,residential_electricity,75.96
IN,commercial_electricity,115.25
IN,industrial_electricity,98.31
IN,diesel,0.9
IN,kerosene,0.25
IN-AP,spot_electricity,58.2
IN-AP,retail_electricity,98
IN-AP,residential_electricity,83.7
IN-AP,commercial_electricity,143.28
IN-AP,industrial_electricity,104.87
IN-AP,diesel,0.91
IN-AP,kerosene,0.24
IN-GJ,spot_electricity,58.2
IN-GJ,retail_electricity,69
IN-GJ,residential_electricity,64.24
IN-GJ,commercial_electricity,74.65
IN-GJ,industrial_electricity,77.87
IN-GJ,diesel,0.93
IN-GJ,kerosene,0.24
IN-KA,spot_electricity,58.2
IN-KA,retail_electricity,87
IN-KA,residential_electricity,74.22
IN-KA,commercial_electricity,121.55
IN-KA,industrial_electricity,94.37
IN-KA,diesel,0.9
