iso,sub_indicator,2010,2011,2012,2013,2014,2015
AR,Clean energy investments,498.2252257,549.3291287,471.0200463,134.6547766,42.45566796,81.06748341
BB,Clean energy investments,0,0,0,0,0,0
BD,Clean energy investments,0,26.02725773,0,0,0,0
BO,Clean energy investments,0,0,0,6.980927933,104.019829,0
BR,Clean energy investments,13485.53279,16501.39579,12181.81742,8144.020171,13865.7245,10748.08838
BS,Clean energy investments,0,0,0,0,0,0
BW,Clean energy investments,5.919280257,0,0,0,0,0
BZ,Clean energy investments,0,0,0,0,0,0
CD,Clean energy investments,0,0,0,0,0,0
CI,Clean energy investments,0,50.00454782,0,0,0,0
CL,Clean energy investments,824.9147193,560.8532686,2813.169428,1680.530344,2025.798399,3372.962961
CM,Clean energy investments,0,53.94321569,48.21207185,0,0,0
CN,Clean energy investments,44500.90819,46269.57454,54051.87435,64047.01706,87075.92994,111553.124
CO,Clean energy investments,56.8138568,48.0043659,80.53110251,150.7104608,125.008777,0
CR,Clean energy investments,118.4857324,235.0240451,197.4321702,248.2830731,515.1976105,258.1302695
DO,Clean energy investments,235.6615378,52.6137657,108.9536127,53.99129639,233.1941494,126.029569
EC,Clean energy investments,0,143.7417417,83.04979547,81.61125445,38.00889768,0
EG,Clean energy investments,891.3274882,0,120.0591875,0,212.9949546,0
ET,Clean energy investments,75.0787353,135.9713663,351.7468437,840.6318147,5.983322764,108
GH,Clean energy investments,0,0,0,33.1484386,0,25.785864
GT,Clean energy investments,325.9865252,108.0105236,104.2535714,148.0870304,653.2020397,95.256
GY,Clean energy investments,0,0,0,0,0,0
HN,Clean energy investments,317.9470479,156.8461743,42.62101156,87.9736204,761.2534484,674.171353
HT,Clean energy investments,0,0,0,0,0,0
ID,Clean energy investments,519.1349409,1477.102749,447.5363286,369.6752979,1843.846764,308.0341591
IN,Clean energy investments,9948.214329,13656.44553,8166.762913,6805.62971,8565.11086,11167.07214
IN-AP,Clean energy investments,0,0,0,0,0,0
IN-BR,Clean energy investments,0,0,0,0,0,0
IN-MP,Clean energy investments,0,0,0,0,0,0
IN-OR,Clean energy investments,0,0,0,0,0,0
IN-UP,Clean energy investments,0,0,0,0,0,0
IN-WB,Clean energy investments,0,0,0,0,0,0
JM,Clean energy investments,92.95048753,0,0,0,3.400238734,204.8974797
JO,Clean energy investments,0,0,0,317.2244352,608.1544309,409.1609157
KE,Clean energy investments,1220.258531,0,866.0230386,507.4568663,1026.319059,483.8142664
LB,Clean energy investments,0,0,0,0,0,0
LK,Clean energy investments,120.0802729,317.9333154,137.2573594,56.43563549,390.5042792,0
LR,Clean energy investments,38.24826496,0,0,97.718014,0,0
MM,Clean energy investments,0,64.00582121,0,0,0,0
MW,Clean energy investments,0,0,0,0,0,0
MX,Clean energy investments,2927.066949,584.4753399,3135.177751,2414.828162,2109.444205,4114.093336
MZ,Clean energy investments,0,0,0,2.089428956,0,0
NG,Clean energy investments,23.5546884,12.56221551,101.8968599,0,203.2383996,0
NI,Clean energy investments,423.4527613,260.843483,285.6579277,128.6985847,181.2774817,0
NP,Clean energy investments,35.20499715,10.50095504,0,1.606125549,49.81848573,0
PA,Clean energy investments,345.0742134,151.5859702,196.1946587,172.7112145,800.9824975,94.61883771
PE,Clean energy investments,870.06061,257.4584409,989.1733017,771.1063288,835.1071516,750.8559598
PK,Clean energy investments,946.3040937,288.6420881,190.2442654,255.9254764,360.3963038,719.6537392
PY,Clean energy investments,0,28.20864056,0,0,0,0
RW,Clean energy investments,0,91.5083225,5.844260258,36.13782485,23.70166412,0
SL,Clean energy investments,0,365.0630061,6.693713787,0,9.600674074,0
SN,Clean energy investments,0,0,0,0,0,58.53272596
SR,Clean energy investments,0,0,0,0,13.00091281,0
SV,Clean energy investments,14.32318935,0,0,224.8375003,0,89.10064453
TJ,Clean energy investments,0,0,0,0,0,0
TT,Clean energy investments,0,0,0,0,0,0
TZ,Clean energy investments,64.71526753,6.401995691,4.203489961,0,49.16966268,130.1410742
UG,Clean energy investments,7.081464944,0,33.62791969,0,10.2007162,231.1275366
UY,Clean energy investments,23.93875703,490.2425982,445.1322532,1289.078336,1143.431464,1322.263117
VE,Clean energy investments,0,65.01991618,51.73808441,0,0,2.97
VN,Clean energy investments,659.8022034,281.0313483,314.4752948,444.5353988,117.3866418,279.1681932
ZA,Clean energy investments,4.974036,192.029667,5522.402002,4934.397062,1320.647085,4095.919622
ZM,Clean energy investments,190.6964588,53.6666725,0,0,0,0
ZW,Clean energy investments,202.3685588,4.50140322,289.7943394,0,0,29.38456679
