iso,chain,sub_chain,2015
AR,Biofuels,Biofuels - Distribution and Blending,1
BS,Biofuels,Biofuels - Distribution and Blending,0
BD,Biofuels,Biofuels - Distribution and Blending,0
BB,Biofuels,Biofuels - Distribution and Blending,0
BZ,Biofuels,Biofuels - Distribution and Blending,0
BO,Biofuels,Biofuels - Distribution and Blending,0
BW,Biofuels,Biofuels - Distribution and Blending,1
BR,Biofuels,Biofuels - Distribution and Blending,1
CM,Biofuels,Biofuels - Distribution and Blending,0
CL,Biofuels,Biofuels - Distribution and Blending,0
CN,Biofuels,Biofuels - Distribution and Blending,1
CO,Biofuels,Biofuels - Distribution and Blending,1
CD,Biofuels,Biofuels - Distribution and Blending,0
CR,Biofuels,Biofuels - Distribution and Blending,0
CI,Biofuels,Biofuels - Distribution and Blending,0
DO,Biofuels,Biofuels - Distribution and Blending,0
EC,Biofuels,Biofuels - Distribution and Blending,0
EG,Biofuels,Biofuels - Distribution and Blending,1
SV,Biofuels,Biofuels - Distribution and Blending,0
ET,Biofuels,Biofuels - Distribution and Blending,0
GH,Biofuels,Biofuels - Distribution and Blending,1
GT,Biofuels,Biofuels - Distribution and Blending,0
GY,Biofuels,Biofuels - Distribution and Blending,0
HT,Biofuels,Biofuels - Distribution and Blending,0
HN,Biofuels,Biofuels - Distribution and Blending,0
IN,Biofuels,Biofuels - Distribution and Blending,0
IN-AP,Biofuels,Biofuels - Distribution and Blending,0
IN-BR,Biofuels,Biofuels - Distribution and Blending,0
IN-MP,Biofuels,Biofuels - Distribution and Blending,0
IN-OR,Biofuels,Biofuels - Distribution and Blending,0
IN-UP,Biofuels,Biofuels - Distribution and Blending,1
IN-WB,Biofuels,Biofuels - Distribution and Blending,0
ID,Biofuels,Biofuels - Distribution and Blending,1
JM,Biofuels,Biofuels - Distribution and Blending,0
JO,Biofuels,Biofuels - Distribution and Blending,0
KE,Biofuels,Biofuels - Distribution and Blending,0
LB,Biofuels,Biofuels - Distribution and Blending,0
LR,Biofuels,Biofuels - Distribution and Blending,0
MW,Biofuels,Biofuels - Distribution and Blending,0
MX,Biofuels,Biofuels - Distribution and Blending,0
MZ,Biofuels,Biofuels - Distribution and Blending,1
MM,Biofuels,Biofuels - Distribution and Blending,0
NP,Biofuels,Biofuels - Distribution and Blending,0
NI,Biofuels,Biofuels - Distribution and Blending,0
NG,Biofuels,Biofuels - Distribution and Blending,1
PK,Biofuels,Biofuels - Distribution and Blending,1
PA,Biofuels,Biofuels - Distribution and Blending,0
PY,Biofuels,Biofuels - Distribution and Blending,0
PE,Biofuels,Biofuels - Distribution and Blending,0
RW,Biofuels,Biofuels - Distribution and Blending,1
SN,Biofuels,Biofuels - Distribution and Blending,1
SL,Biofuels,Biofuels - Distribution and Blending,1
ZA,Biofuels,Biofuels - Distribution and Blending,1
LK,Biofuels,Biofuels - Distribution and Blending,0
SR,Biofuels,Biofuels - Distribution and Blending,0
TJ,Biofuels,Biofuels - Distribution and Blending,0
TZ,Biofuels,Biofuels - Distribution and Blending,0
TT,Biofuels,Biofuels - Distribution and Blending,0
UG,Biofuels,Biofuels - Distribution and Blending,0
UY,Biofuels,Biofuels - Distribution and Blending,1
VE,Biofuels,Biofuels - Distribution and Blending,0
VN,Biofuels,Biofuels - Distribution and Blending,1
ZM,Biofuels,Biofuels - Distribution and Blending,0
ZW,Biofuels,Biofuels - Distribution and Blending,1
AR,Biofuels,Biofuels - Engineering,1
BS,Biofuels,Biofuels - Engineering,0
BD,Biofuels,Biofuels - Engineering,0
BB,Biofuels,Biofuels - Engineering,0
BZ,Biofuels,Biofuels - Engineering,0
BO,Biofuels,Biofuels - Engineering,0
BW,Biofuels,Biofuels - Engineering,0
BR,Biofuels,Biofuels - Engineering,1
