sub_indicator,iso,2016,note
q1,AM,0,
q1,AR,0,
q1,AZ,1,
q1,BB,2,
q1,BD,1,
q1,BO,0,
q1,BR,0,
q1,BS,2,
q1,BW,2,
q1,BY,2,
q1,BZ,1,
q1,CD,2,
q1,CI,1,
q1,CL,0,
q1,CM,1,
q1,CN,1,
q1,CO,0,
q1,CR,1,
q1,DO,0,
q1,EC,0,
q1,EG,1,
q1,ET,1,
q1,GE,0,
q1,GH,1,
q1,GT,0,
q1,GY,1,
q1,HN,1,
q1,HT,1,
q1,ID,1,
q1,IN,0,
q1,IN-AP,1,
q1,IN-BR,1,
q1,IN-MP,0,
q1,IN-OR,1,
q1,IN-UP,1,
q1,IN-WB,0,
q1,JM,1,
q1,JO,0,
q1,KE,1,
q1,KG,0,
q1,KZ,0,
q1,LB,2,
q1,LK,1,
q1,LR,2,
q1,MD,0,
q1,MM,0,
q1,MN,1,
q1,MW,0,
q1,MX,1,
q1,MZ,1,
q1,NG,0,
q1,NI,0,
q1,NP,1,
q1,PA,0,
q1,PE,0,
q1,PK,0,
q1,PY,2,
q1,RU,0,
q1,RW,1,
q1,SL,1,
q1,SN,1,
q1,SR,1,
q1,SV,0,
q1,TJ,2,
q1,TM,2,
q1,TR,0,
q1,TT,1,
q1,TZ,1,
q1,UA,1,
q1,UG,0,
q1,UY,1,
q1,UZ,1,
q1,VE,2,
q1,VN,1,
q1,ZA,2,
q1,ZM,0,
q1,ZW,2,
q10,AM,3,
q10,AR,2,
q10,AZ,3,
q10,BB,2,
q10,BD,0,
q10,BO,2,
q10,BR,2,
q10,BS,2,
q10,BW,1,
q10,BY,3,
q10,BZ,2,
q10,CD,0,
q10,CI,1,
q10,CL,3,
q10,CM,0,
q10,CN,3,
q10,CO,3,
q10,CR,2,
q10,DO,0,
q10,EC,2,
q10,EG,0,
q10,ET,0,
q10,GE,2,
q10,GH,0,
q10,GT,2,
q10,GY,0,
q10,HN,2,
q10,HT,3,
q10,ID,3,
q10,IN,0,
q10,IN-AP,3,
q10,IN-BR,3,
q10,IN-MP,3,
q10,IN-OR,3,
q10,IN-UP,3,
q10,IN-WB,3,
q10,JM,2,
q10,JO,3,
q10,KE,1,
q10,KG,3,
q10,KZ,3,
q10,LB,0,
q10,LK,1,
q10,LR,2,
q10,MD,3,
q10,MM,0,
q10,MN,2,
q10,MW,1,
q10,MX,2,
q10,MZ,2,
q10,NG,0,
q10,NI,1,
q10,NP,0,
q10,PA,3,
q10,PE,3,
q10,PK,0,
q10,PY,1,
q10,RU,3,
q10,RW,1,
q10,SL,0,
q10,SN,1,
q10,SR,3,
q10,SV,2,
q10,TJ,1,
q10,TM,3,
q10,TR,2,
q10,TT,3,
q10,TZ,0,
q10,UA,3,
q10,UG,1,
q10,UY,3,
q10,UZ,1,
q10,VE,1,
q10,VN,3,
q10,ZA,3,
q10,ZM,1,
q10,ZW,1,
q11,AM,4,
q11,AR,2,
q11,AZ,4,
q11,BB,3,
q11,BD,3,
q11,BO,3,
q11,BR,1,
q11,BS,3,
q11,BW,1,
q11,BY,4,
q11,BZ,2,
q11,CD,0,
q11,CI,1,
q11,CL,3,
q11,CM,0,
q11,CN,4,
q11,CO,3,
q11,CR,3,
q11,DO,1,
q11,EC,3,
q11,EG,2,
q11,ET,0,
q11,GE,3,
q11,GH,0,
q11,GT,2,
q11,GY,1,
q11,HN,1,
q11,HT,4,
q11,ID,3,
q11,IN,2,
q11,IN-AP,4,
q11,IN-BR,4,
q11,IN-MP,4,
q11,IN-OR,4,
q11,IN-UP,4,
q11,IN-WB,4,
q11,JM,2,
q11,JO,4,
q11,KE,0,
q11,KG,1,
q11,KZ,3,
q11,LB,0,
q11,LK,2,
q11,LR,2,
q11,MD,2,
q11,MM,0,
q11,MN,0,
q11,MW,1,
q11,MX,1,
q11,MZ,1,
q11,NG,0,
q11,NI,1,
q11,NP,2,
q11,PA,4,
q11,PE,3,
q11,PK,0,
q11,PY,2,
q11,RU,3,
q11,RW,1,
q11,SL,0,
q11,SN,2,
q11,SR,3,
q11,SV,3,
q11,TJ,0,
q11,TM,4,
q11,TR,3,
q11,TT,4,
q11,TZ,0,
q11,UA,4,
q11,UG,0,
q11,UY,4,
q11,UZ,1,
q11,VE,2,
q11,VN,3,
q11,ZA,1,
q11,ZM,1,
q11,ZW,0,
q12,AM,0,
q12,AR,2,
q12,AZ,2,
q12,BB,1,
q12,BD,1,
q12,BO,3,
q12,BR,1,
q12,BS,3,
q12,BW,1,
q12,BY,1,
q12,BZ,3,
q12,CD,4,
q12,CI,1,
q12,CL,1,
q12,CM,2,
q12,CN,1,
q12,CO,1,
q12,CR,2,
q12,DO,4,
q12,EC,3,
q12,EG,2,
q12,ET,2,
q12,GE,1,
q12,GH,4,
q12,GT,1,
q12,GY,3,
q12,HN,4,
q12,HT,4,
q12,ID,3,
q12,IN,2,
q12,IN-AP,2,
q12,IN-BR,3,
q12,IN-MP,1,
q12,IN-OR,2,
q12,IN-UP,3,
q12,IN-WB,3,
q12,JM,2,
q12,JO,1,
q12,KE,2,
q12,KG,2,
q12,KZ,2,
q12,LB,1,
q12,LK,0,
q12,LR,4,
q12,MD,1,
q12,MM,3,
q12,MN,3,
q12,MW,2,
q12,MX,1,
q12,MZ,3,
q12,NG,1,
q12,NI,2,
q12,NP,3,
q12,PA,1,
q12,PE,1,
q12,PK,4,
q12,PY,2,
q12,RU,1,
q12,RW,1,
q12,SL,2,
q12,SN,1,
q12,SR,2,
q12,SV,2,
q12,TJ,4,
q12,TM,1,
q12,TR,1,
q12,TT,2,
q12,TZ,4,
q12,UA,1,
q12,UG,1,
q12,UY,1,
q12,UZ,2,
q12,VE,4,
q12,VN,3,
q12,ZA,3,
q12,ZM,3,
q12,ZW,3,
q2,AM,0,
q2,AR,0,
q2,AZ,2,
q2,BB,2,
q2,BD,1,
q2,BO,1,
q2,BR,0,
q2,BS,2,
q2,BW,2,
q2,BY,2,
q2,BZ,2,
q2,CD,2,
q2,CI,1,
q2,CL,0,
q2,CM,1,
q2,CN,1,
q2,CO,0,
q2,CR,2,
q2,DO,0,
q2,EC,2,
