sub_indicator,iso,2016,answer,note
q23,BD,0,Yes,
q24,BD,0,Yes,
q25,BD,2,No,
q26,BD,0,Yes,
q27,BD,2,No,
q28,BD,2,No,
q29,BD,0,Yes,
q30,BD,0,Yes,
q31,BD,0,Yes,
q32,BD,1,Somewhat,
q33,BD,1,Somewhat,
q34,BD,0,Yes,
q35,BD,1,Somewhat,
q36,BD,0,Yes,
q37,BD,1,Somewhat,
q38,BD,0,Yes,
q39,BD,0,Yes,
q41,BD,0,Yes,
q42,BD,0,Yes,
q43,LR,0,High,
q44,BD,0,Yes,
q45,BD,0,Yes,
q46,BD,0,Yes,
q47,GH,0,High,
q48,BD,0,Yes,
q49,BD,0,Yes,
q50,BD,0,Yes,
q51,BD,0,Yes,
q53,BD,2,No,
q54,BD,0,Yes,
q55,BD,0,Yes,
q56,BD,2,Low,
q57,BD,0,Yes,
q58,BD,0,Yes,
q59,BD,1,Somewhat,
q60,BD,2,No,
q61,BD,2,Low,
q23,BW,0,Yes,
q24,BW,1,Somewhat,
q25,BW,1,Somewhat,
q26,BW,0,Yes,
q27,BW,2,No,
q28,BW,2,No,
q29,BW,1,Somewhat,
q30,BW,1,Somewhat,
q31,BW,1,Somewhat,
q32,BW,2,No,
q33,BW,0,Yes,
q34,BW,0,Yes,
q35,BW,2,No,
q36,BW,2,No,
q37,BW,1,Somewhat,
q38,BW,2,No,
q39,BW,2,No,
q41,BW,0,Yes,
q42,BW,2,No,
q43,NP,0,High,
q44,BW,0,Yes,
q45,BW,2,No,
q46,BW,1,Somewhat,
q47,LR,0,High,
q48,BW,0,Yes,
q49,BW,2,No,
q50,BW,1,Somewhat,
q51,BW,2,No,
q53,BW,0,Yes,
q54,BW,2,No,
q55,BW,0,Yes,
q56,CM,2,Low,
q57,BW,2,No,
q58,BW,1,Somewhat,
q59,BW,2,No,
q60,BW,1,Somewhat,
q61,BW,2,Low,
q23,CM,0,Yes,
q24,CM,2,No,
q25,CM,1,Somewhat,
q26,CM,0,Yes,
q27,CM,2,No,
q28,CM,2,No,
q29,CM,0,Yes,
q30,CM,0,Yes,
q31,CM,1,Somewhat,
q32,CM,2,No,
q33,CM,0,Yes,
q34,CM,0,Yes,
q35,CM,2,No,
q36,CM,2,No,
q37,CM,2,No,
q38,CM,2,No,
q39,CM,1,Somewhat,
q41,CM,0,Yes,
q42,CM,0,Yes,
q43,SN,0,High,
q44,CM,0,Yes,
