iso,sub_indicator,2010,2011,2012,2013,2014,2015,2016
IN-AP,Clean energy investments,17.94,72.95,102.06,197.53,197.53,253.51,0
IN-BR,Clean energy investments,1.69,1.69,6.7,6.7,6.7,6.7,0
IN-MP,Clean energy investments,0,0,0,0,0,0,0
IN-OR,Clean energy investments,118.79,118.79,118.79,118.79,118.79,118.79,0
IN-UP,Clean energy investments,0,0,0,0.3,0.3,0.3,0
IN-WB,Clean energy investments,0,15,18.1,18.1,18.1,18.1,0
AR,Clean energy investments,562.56,563.60,458.54,113.98,42.93,79.29,363.89
AM,Clean energy investments,0.00,0.00,0.00,0.00,0.00,9.46,0.00
AZ,Clean energy investments,5.15,15.82,0.00,0.00,8.96,0.00,0.00
BS,Clean energy investments,1.54,0.00,0.00,0.00,0.00,0.00,0.00
BD,Clean energy investments,0.00,25.80,0.00,0.00,0.00,0.00,3.65
BY,Clean energy investments,199.28,0.00,170.56,0.00,69.95,0.00,26.85
BZ,Clean energy investments,0.00,0.00,10.53,0.00,0.00,0.00,0.00
BO,Clean energy investments,0.00,0.00,2.00,7.10,101.80,0.00,777.41
BW,Clean energy investments,5.96,1.98,0.00,0.00,0.00,0.00,0.00
BR,Clean energy investments,14013.69,16616.73,12626.85,8192.75,14315.26,10838.75,9641.36
CM,Clean energy investments,0.00,53.93,50.08,0.00,0.00,0.00,0.00
CL,Clean energy investments,829.44,567.88,2855.78,1686.09,2011.17,4149.83,1208.13
CN,Clean energy investments,45131.46,47917.49,58835.83,65830.87,92156.29,118868.79,85764.43
CO,Clean energy investments,100.19,48.00,195.60,150.89,146.60,0.00,0.00
CD,Clean energy investments,44.69,75.34,16.69,63.36,0.00,0.00,0.00
CR,Clean energy investments,118.95,216.53,275.93,246.63,576.04,259.76,197.04
CI,Clean energy investments,0.00,50.00,0.00,0.00,0.00,0.00,0.00
DO,Clean energy investments,238.72,42.97,111.93,53.88,233.02,108.90,0.00
EC,Clean energy investments,0.00,143.86,86.53,81.32,37.48,0.00,0.00
EG,Clean energy investments,902.90,0.00,124.70,0.00,212.98,0.00,745.43
SV,Clean energy investments,14.52,0.00,0.00,224.26,0.00,82.38,285.10
ET,Clean energy investments,84.26,135.96,365.35,848.85,6.24,100.00,0.00
GE,Clean energy investments,0.00,89.00,0.00,0.00,115.20,0.00,24.13
GH,Clean energy investments,0.00,0.00,0.00,33.00,0.00,25.75,7.50
GT,Clean energy investments,325.42,108.47,105.17,146.69,660.19,94.62,30.06
GY,Clean energy investments,0.00,0.00,0.17,0.00,0.00,0.00,0.00
HN,Clean energy investments,322.44,156.85,44.73,233.39,770.91,627.43,337.36
IN,Clean energy investments,10048.43,14416.08,8395.20,7166.38,9207.29,11231.48,10941.79
ID,Clean energy investments,526.24,1566.03,506.82,369.13,1836.90,286.25,552.33
JM,Clean energy investments,93.68,0.00,0.00,0.00,3.44,201.62,0.00
JO,Clean energy investments,0.00,0.00,0.00,320.33,757.34,416.26,1101.45
KZ,Clean energy investments,0.00,0.00,0.00,115.57,292.47,91.45,0.00
KE,Clean energy investments,1220.86,0.26,873.53,512.42,1026.25,496.54,648.11
KG,Clean energy investments,11.52,0.00,0.00,0.00,0.00,0.00,0.00
LR,Clean energy investments,38.02,0.00,0.00,98.21,0.00,0.00,0.00
MW,Clean energy investments,0.00,0.00,8.57,0.00,0.00,0.00,0.00
MX,Clean energy investments,2969.51,588.13,3193.60,2421.15,2179.70,4351.18,1360.74
MN,Clean energy investments,0.00,0.00,132.41,0.00,0.00,0.00,153.21
MZ,Clean energy investments,0.00,0.94,0.00,2.11,0.00,0.00,0.00
MM,Clean energy investments,0.00,64.80,0.00,0.00,0.00,1.95,0.00
NP,Clean energy investments,35.77,10.50,0.00,1.64,49.35,0.00,0.00
NI,Clean energy investments,431.32,261.51,291.37,76.59,246.10,0.00,0.00
NG,Clean energy investments,23.28,12.56,105.84,0.00,203.22,0.00,0.00
PK,Clean energy investments,1004.71,289.18,222.01,291.21,360.37,1450.42,297.89
PA,Clean energy investments,340.86,151.78,197.30,174.96,766.26,85.20,55.29
PY,Clean energy investments,0.00,28.20,0.00,0.00,0.00,0.00,0.00
PE,Clean energy investments,877.87,257.87,1001.29,770.49,794.26,680.87,390.77
