iso,gdp,growth_rate,population,clean_energy_investments,installed_power_capacity,renewable_share,clean_energy_generation
AR,585.62,0.01,43.42,1.28,31.82,0.02,2671.5
BS,8.71,0.02,0.39,0.00,0.58,0,
BD,205.72,0.09,161.00,0.03,12.90,0,
BB,4.41,0,0.28,0.00,0.25,0.03,12.61
BZ,1.76,0.03,0.36,0.00,0.15,0.56,365.66
BO,33.21,0.07,10.73,0.11,2.42,0.14,1381.01
BW,12.86,-0.03,2.26,0.00,0.93,0,2.63
BR,1772.59,-0.07,207.85,61.44,141.11,0.18,65757.26
CM,28.48,0.01,23.34,0.10,1.38,0,8.7
CL,240.22,-0.01,17.95,10.45,19.75,0.15,13080.51
CN,10982.83,0.08,1370.84,374.29,1490.49,0.17,531072
CO,293.24,-0.03,48.23,0.40,16.31,0.04,3217.37
CR,52.90,0.05,4.81,1.45,3.07,0.36,4981.58
CI,31.17,0.04,22.70,0.05,1.89,0.03,170
CD,38.87,0.1,77.27,0.00,2.78,0.05,440.96
DO,67.49,0.03,10.53,0.57,3.91,0.07,719.49
EC,98.83,0.05,16.14,0.35,6.02,0.1,2879.54
SV,25.77,0.02,6.13,0.31,1.70,0.29,1840.2
EG,330.77,0.06,91.51,0.33,35.12,0.02,1444
ET,61.63,0.14,99.39,1.44,4.13,0.1,1186
GH,36.04,-0.02,27.41,0.06,3.17,0,4
GT,63.91,0.06,16.34,1.11,3.73,0.31,2949.87
GY,3.16,0.04,0.77,0.00,0.20,0.15,36
HT,8.62,0.03,10.71,0.00,0.25,0.25,160
HN,20.30,0.03,8.08,1.72,2.25,0.43,2308.4
IN,2090.71,0.03,1311.05,49.24,289.63,0.15,71307
IN-AP,92.19,0.03,52.49,0.24,17.05,0.11,2877.14
IN-BR,63.18,0.04,114.21,0.01,4.40,0.03,210.32
IN-MP,86.33,0.06,78.49,0.00,20.48,0.1,2561.41
IN-OR,50.78,0.02,44.33,0.00,10.85,0.02,359.86
IN-UP,176.29,0.03,215.60,0.00,21.83,0.1,3461.99
IN-WB,140.57,0.05,96.97,0.02,14.99,0.02,778.13
ID,858.95,-0.01,257.56,4.45,54.95,0.06,20966.12
JM,13.92,-0.01,2.73,0.21,0.93,0.08,256
JO,37.62,0.05,6.74,1.33,4.51,0.04,232
KE,61.41,0.08,46.05,2.88,2.25,0.31,4483.76
LB,51.17,0.05,4.65,0.00,2.68,0.03,267.03
LR,2.04,0.06,4.50,0.00,0.03,0.19,21.72
MW,6.42,-0.04,17.22,0.10,0.40,0.06,141.77
MX,1144.33,0,127.02,12.36,67.91,0.08,18067.6
MZ,14.97,0.03,27.98,0.00,2.64,0.02,105.59
MM,66.98,0.02,53.90,0.06,5.06,0.04,926
NP,21.36,0.02,28.51,0.06,0.82,0.45,1734.17
NI,12.22,0.05,6.08,0.86,1.35,0.42,2236.51
NG,490.21,0.03,182.20,0.32,12.64,0,326
PK,269.97,0.05,188.93,1.81,24.85,0.03,1931
PA,52.13,0.09,3.93,1.42,3.01,0.18,1352.69
PY,28.08,0.02,6.64,0.03,8.83,0,
PE,192.14,0.02,31.38,3.60,11.72,0.09,4536.77
RW,8.27,0.05,11.61,0.16,0.16,0.54,293.04
SN,13.67,-0.01,15.13,0.06,0.55,0,
SL,4.17,0.07,6.45,0.38,0.13,0.42,113
ZA,312.96,-0.06,54.77,16.07,46.29,0.06,5635.87
LK,82.10,0.07,20.88,0.90,3.85,0.12,1467
SR,5.19,0.03,0.54,0.01,0.50,0.01,11.3
TJ,7.82,0.04,8.48,0.00,5.43,0.02,179.2
TZ,44.90,0.06,53.47,0.19,1.95,0.03,86.63
TT,24.55,-0.01,1.36,0.00,2.40,0,
UG,24.74,0.03,39.03,0.27,0.91,0.17,809.95
UY,53.79,0.02,3.43,4.69,4.06,0.33,4509.6
VE,239.57,-0.06,31.11,0.12,31.06,0,293.93
VN,191.45,0.07,91.71,1.44,38.94,0.05,6047
ZM,21.89,-0.01,16.21,0.05,2.56,0.04,448.9
ZW,14.27,0.05,15.60,0.32,2.04,0.06,194.1
